key,value
01001,2126
01003,6768
01005,1055
01007,861
01009,2009
01011,651
01013,1019
01015,4765
01017,1380
01019,764
01021,1923
01023,395
01025,1387
01027,763
01029,579
01031,1836
01033,2102
01035,572
01037,217
01039,1773
01041,612
01043,2665
01045,1849
01047,1892
01049,3554
01051,3278
01053,1758
01055,4419
01057,599
01059,2094
01061,942
01063,345
01065,781
01067,731
01069,4239
01071,2253
01073,23940
01075,523
01077,2405
01079,885
01081,6649
01083,2970
01085,721
01087,543
01089,9557
01091,1046
01093,1109
01095,4474
01097,17123
01099,663
01101,10503
01103,4308
01105,599
01107,890
01109,1364
01111,846
01113,1983
01117,7605
01115,3113
01119,486
01121,2764
01123,1372
01125,10602
90001,0
01127,2874
01129,758
01131,571
01133,947
02013,16
02016,99
02020,7952
02050,424
02060,0
02164,108
02068,31
02070,59
02090,2199
02100,12
02105,0
02110,551
02122,1016
02130,83
02150,111
02158,224
02170,1368
02180,132
02185,271
02188,245
80002,0
02195,19
02198,35
02220,77
02230,8
02240,83
90002,60
02261,164
02275,19
02282,38
02290,118
00060,0
04001,3965
04003,2171
04005,5243
04007,1945
04009,1197
04011,101
04012,620
04013,156736
04015,4371
04017,6410
80004,0
04019,28067
04021,11937
04023,3021
90004,0
04025,2961
04027,13735
05001,692
05003,552
05005,695
05007,8340
05009,1057
05011,373
05013,53
05015,1014
05017,1053
05019,506
05021,496
05023,463
05025,241
05027,720
05029,352
05031,4646
05033,2086
05035,2442
05037,598
05039,180
05041,420
05043,435
05045,3430
05047,540
05049,332
05051,2591
05053,374
05055,1557
05057,564
05059,2227
05061,599
05063,1476
05065,614
05067,788
05069,4243
05071,1042
05073,176
05075,848
05077,1111
05079,2333
05081,465
05083,603
05085,1806
05087,433
05089,161
05091,1480
05093,2338
05095,216
05097,184
05099,317
05101,319
05103,391
80005,0
05105,142
05107,767
05109,270
05111,1133
05113,364
05115,2774
05117,236
05119,12152
05121,668
05125,2916
05127,225
05129,205
05131,4920
05133,1371
05135,373
05123,1774
05137,404
90005,2085
05139,1144
05141,212
05143,11616
05145,1516
05147,126
05149,1347
06001,23636
06003,4
06005,337
06007,3134
06009,347
06011,553
06013,18877
06015,180
06017,1368
06019,31195
06021,679
06023,569
06025,13023
06027,240
06029,34114
06031,8486
06033,702
06035,771
06037,305070
06039,5066
06041,7107
06043,81
06045,1154
06047,9588
06049,45
06051,182
06053,11538
06055,1998
06057,632
06059,59442
80006,0
06061,4290
06063,76
06065,67552
06067,25882
06069,1449
06071,64131
06073,55898
06075,12277
06077,21988
06079,4240
06081,11278
06083,9886
06085,24665
06087,2848
06089,1999
06091,6
06093,214
06095,7586
06097,9601
06099,17814
06101,1889
06103,921
06105,28
06107,17730
06109,285
90006,0
06111,14409
06113,3250
06115,1338
08001,14411
08003,327
08005,13050
08007,68
08009,32
08011,16
08013,5660
08014,997
08015,417
08017,15
08019,74
08021,69
08023,36
08025,95
08027,22
08029,211
08031,18539
08033,3
08035,4094
08037,1465
08041,10411
08039,226
08043,695
08045,1202
08047,29
08049,153
08051,310
08053,3
08055,33
08057,9
08059,8783
08061,4
08063,135
08067,375
08065,135
08069,4183
08071,79
08073,25
08075,1258
08077,1504
08079,21
08081,70
08083,215
08085,477
08087,879
08089,158
08091,39
80008,0
08093,101
08095,56
08097,288
08099,189
08101,2141
08103,29
08105,124
08107,219
08109,142
08111,7
08113,104
08115,41
08117,730
08119,232
90008,0
08121,102
08123,6255
08125,219
09001,23895
09003,17995
09005,2279
09007,1992
09009,17156
09011,3765
80009,0
09013,1764
90009,155
09015,1445
10001,3505
10003,12989
80010,0
10005,7968
90010,91
88888,49
11001,17074
80011,0
90011,0
12001,10385
12003,1783
12005,6801
12007,1238
12009,11502
12011,85449
12013,718
12015,3638
12017,3224
12019,6083
12021,14404
12023,4255
12027,1670
12029,901
12031,34963
12033,13517
12035,2117
12037,771
12039,3064
12041,607
12043,606
12045,939
12047,904
12049,1606
12051,2223
12053,3715
12055,2652
12057,47800
12059,914
12061,3847
12063,3124
12065,672
12067,1278
12069,8613
12071,23335
12073,12316
12075,1139
12077,534
12079,1078
12081,13258
12083,10819
12085,5368
12086,184669
12087,2269
12089,2480
12091,6373
12093,1736
12095,45941
12097,14203
80012,0
12099,51779
12101,10826
12103,25674
12105,22960
12107,2386
12113,5941
12115,9657
12117,10239
12109,6506
12111,9061
12119,2891
12121,2999
12123,1476
90012,1827
12125,1133
12127,12755
12129,1319
12131,2458
12133,1236
13001,1173
13003,484
13005,638
13007,92
13009,2316
13011,558
13013,2631
13015,3667
13017,877
13019,493
13021,6632
13023,516
13025,463
13027,553
13029,1321
13031,3103
13033,896
13035,746
13037,272
13039,1436
13043,546
13045,3360
13047,1461
13049,647
13051,9479
13053,1753
13055,960
13057,7219
13059,5787
13061,124
13063,8298
13065,453
13067,22059
13069,2274
13071,2136
13073,4415
13075,594
13077,2983
13079,196
13081,651
13083,362
13085,922
13089,21335
13087,1304
13091,620
13093,375
13095,3305
13097,4135
13099,555
13101,246
13103,1835
13105,760
13107,1209
13109,487
13111,835
13113,2135
13115,4040
13117,4792
13119,937
13121,31315
13123,1052
13125,50
13127,3751
13129,2414
13131,866
13133,576
13135,30746
13137,1897
13139,10740
13141,413
13143,659
13145,852
13147,578
13149,234
13151,6269
13153,3640
13155,358
13157,2408
13159,249
13161,801
13163,857
13165,472
13167,441
13169,647
13171,424
13173,319
13175,2014
13177,748
13179,1288
13181,235
13183,277
13185,4496
13187,1053
13193,252
13195,798
13197,201
13189,689
13191,310
13199,597
13201,314
13205,848
13207,765
13209,375
13211,535
13213,1064
13215,6390
13217,2878
13219,871
13221,425
80013,14842
13223,3193
13225,786
13227,805
13229,682
13231,393
13233,1728
13235,343
13237,808
13239,41
13241,432
13243,339
13245,8012
13247,2148
13249,109
13251,450
13253,395
13255,1611
13257,1287
13259,568
13261,961
13263,175
13265,30
13267,942
13269,235
13271,510
13273,340
13275,1610
13277,1969
13279,1506
13281,444
13283,315
13285,3054
13287,338
13289,220
90013,1887
13291,895
13293,843
13295,1910
13297,2365
13299,1745
13301,167
13303,776
13305,1254
13307,44
13309,369
13311,1011
13313,5522
