fipscode,last,party,votepct
02000,Trump,GOP,0.528065
02000,Clinton,Dem,0.376378
02000,Johnson,Lib,0.060519
02000,Stein,Grn,0.018535
02000,Castle,CST,0.012495
02000,De La Fuente,NPA,0.004008
01001,Trump,GOP,0.733955
01001,Clinton,Dem,0.239751
01001,Johnson,Ind,0.022053
01001,Stein,Ind,0.004241
01003,Trump,GOP,0.773204
01003,Clinton,Dem,0.195818
01003,Johnson,Ind,0.02614
01003,Stein,Ind,0.004838
01005,Trump,GOP,0.522614
01005,Clinton,Dem,0.46675
01005,Johnson,Ind,0.008911
01005,Stein,Ind,0.001725
01007,Trump,GOP,0.769793
01007,Clinton,Dem,0.214098
01007,Johnson,Ind,0.014167
01007,Stein,Ind,0.001942
01009,Trump,GOP,0.898475
01009,Clinton,Dem,0.084742
01009,Johnson,Ind,0.013285
01009,Stein,Ind,0.003498
01011,Trump,GOP,0.24245
01011,Clinton,Dem,0.750744
01011,Johnson,Ind,0.004679
01011,Stein,Ind,0.002127
01013,Trump,GOP,0.56301
01013,Clinton,Dem,0.42803
01013,Johnson,Ind,0.007467
01013,Stein,Ind,0.001493
01015,Trump,GOP,0.692113
01015,Clinton,Dem,0.278867
01015,Johnson,Ind,0.023502
01015,Stein,Ind,0.005518
01017,Trump,GOP,0.566732
01017,Clinton,Dem,0.417949
01017,Johnson,Ind,0.01214
01017,Stein,Ind,0.003179
01019,Trump,GOP,0.838846
01019,Clinton,Dem,0.144945
01019,Johnson,Ind,0.013773
01019,Stein,Ind,0.002436
01021,Trump,GOP,0.825361
01021,Clinton,Dem,0.159315
01021,Johnson,Ind,0.012478
01021,Stein,Ind,0.002846
01023,Trump,GOP,0.564554
01023,Clinton,Dem,0.427471
01023,Johnson,Ind,0.00715
01023,Stein,Ind,0.000825
01025,Trump,GOP,0.54902
01025,Clinton,Dem,0.442061
01025,Johnson,Ind,0.007612
01025,Stein,Ind,0.001307
01027,Trump,GOP,0.795782
01027,Clinton,Dem,0.18768
01027,Johnson,Ind,0.01411
01027,Stein,Ind,0.002428
01029,Trump,GOP,0.878927
01029,Clinton,Dem,0.1043
01029,Johnson,Ind,0.013724
01029,Stein,Ind,0.00305
01031,Trump,GOP,0.770781
01031,Clinton,Dem,0.204943
01031,Johnson,Ind,0.019227
01031,Stein,Ind,0.00505
01033,Trump,GOP,0.678635
01033,Clinton,Dem,0.29632
01033,Johnson,Ind,0.020708
01033,Stein,Ind,0.004336
01035,Trump,GOP,0.521262
01035,Clinton,Dem,0.469441
01035,Johnson,Ind,0.007773
01035,Stein,Ind,0.001524
01037,Trump,GOP,0.646463
01037,Clinton,Dem,0.340727
01037,Johnson,Ind,0.010134
01037,Stein,Ind,0.002677
01039,Trump,GOP,0.835822
01039,Clinton,Dem,0.150381
01039,Johnson,Ind,0.011529
01039,Stein,Ind,0.002268
01041,Trump,GOP,0.721387
01041,Clinton,Dem,0.265985
01041,Johnson,Ind,0.01039
01041,Stein,Ind,0.002238
01043,Trump,GOP,0.87718
01043,Clinton,Dem,0.100989
01043,Johnson,Ind,0.018267
01043,Stein,Ind,0.003563
01045,Trump,GOP,0.741051
01045,Clinton,Dem,0.236838
01045,Johnson,Ind,0.018784
01045,Stein,Ind,0.003327
01047,Trump,GOP,0.308829
01047,Clinton,Dem,0.684769
01047,Johnson,Ind,0.005121
01047,Stein,Ind,0.00128
01049,Trump,GOP,0.834926
01049,Clinton,Dem,0.14128
01049,Johnson,Ind,0.017865
01049,Stein,Ind,0.005929
01051,Trump,GOP,0.748341
01051,Clinton,Dem,0.22864
01051,Johnson,Ind,0.019985
01051,Stein,Ind,0.003033
01053,Trump,GOP,0.672875
01053,Clinton,Dem,0.311886
01053,Johnson,Ind,0.012733
01053,Stein,Ind,0.002506
01055,Trump,GOP,0.738754
01055,Clinton,Dem,0.238434
01055,Johnson,Ind,0.019067
01055,Stein,Ind,0.003745
01057,Trump,GOP,0.817838
01057,Clinton,Dem,0.165956
01057,Johnson,Ind,0.013281
01057,Stein,Ind,0.002924
01059,Trump,GOP,0.791803
01059,Clinton,Dem,0.183772
01059,Johnson,Ind,0.019908
01059,Stein,Ind,0.004517
01061,Trump,GOP,0.854772
01061,Clinton,Dem,0.130431
01061,Johnson,Ind,0.012744
01061,Stein,Ind,0.002053
01063,Trump,GOP,0.172109
01063,Clinton,Dem,0.824194
01063,Johnson,Ind,0.00267
01063,Stein,Ind,0.001027
01065,Trump,GOP,0.395932
01065,Clinton,Dem,0.595832
01065,Johnson,Ind,0.006738
01065,Stein,Ind,0.001497
01067,Trump,GOP,0.701195
01067,Clinton,Dem,0.285359
01067,Johnson,Ind,0.01133
01067,Stein,Ind,0.002117
01069,Trump,GOP,0.726173
01069,Clinton,Dem,0.252015
01069,Johnson,Ind,0.01841
01069,Stein,Ind,0.003403
01071,Trump,GOP,0.800461
01071,Clinton,Dem,0.176349
01071,Johnson,Ind,0.018869
01071,Stein,Ind,0.004321
01073,Trump,GOP,0.449466
01073,Clinton,Dem,0.523189
01073,Johnson,Ind,0.022162
01073,Stein,Ind,0.005183
01075,Trump,GOP,0.839533
01075,Clinton,Dem,0.149366
01075,Johnson,Ind,0.008939
01075,Stein,Ind,0.002163
01077,Trump,GOP,0.71426
01077,Clinton,Dem,0.254788
01077,Johnson,Ind,0.025269
01077,Stein,Ind,0.005684
01079,Trump,GOP,0.734889
01079,Clinton,Dem,0.246048
01079,Johnson,Ind,0.01696
01079,Stein,Ind,0.002103
01081,Trump,GOP,0.594375
01081,Clinton,Dem,0.36452
01081,Johnson,Ind,0.034855
01081,Stein,Ind,0.00625
01083,Trump,GOP,0.730473
01083,Clinton,Dem,0.237937
01083,Johnson,Ind,0.026513
01083,Stein,Ind,0.005076
01085,Trump,GOP,0.262244
01085,Clinton,Dem,0.731316
01085,Johnson,Ind,0.004793
01085,Stein,Ind,0.001647
01087,Trump,GOP,0.156994
01087,Clinton,Dem,0.83006
01087,Johnson,Ind,0.00757
01087,Stein,Ind,0.005376
01089,Trump,GOP,0.558742
01089,Clinton,Dem,0.392106
01089,Johnson,Ind,0.041325
01089,Stein,Ind,0.007827
01091,Trump,GOP,0.477246
01091,Clinton,Dem,0.512084
01091,Johnson,Ind,0.009485
01091,Stein,Ind,0.001186
01093,Trump,GOP,0.873074
01093,Clinton,Dem,0.110896
01093,Johnson,Ind,0.014017
01093,Stein,Ind,0.002013
01095,Trump,GOP,0.835563
01095,Clinton,Dem,0.140542
01095,Johnson,Ind,0.019379
01095,Stein,Ind,0.004516
01097,Trump,GOP,0.554988
01097,Clinton,Dem,0.421195
01097,Johnson,Ind,0.019202
01097,Stein,Ind,0.004615
01099,Trump,GOP,0.56636
01099,Clinton,Dem,0.423378
01099,Johnson,Ind,0.0086
01099,Stein,Ind,0.001661
01101,Trump,GOP,0.358322
01101,Clinton,Dem,0.620855
01101,Johnson,Ind,0.015659
01101,Stein,Ind,0.005164
01103,Trump,GOP,0.747835
01103,Clinton,Dem,0.224514
01103,Johnson,Ind,0.023301
01103,Stein,Ind,0.004349
01105,Trump,GOP,0.26749
01105,Clinton,Dem,0.726996
01105,Johnson,Ind,0.004373
01105,Stein,Ind,0.001141
01107,Trump,GOP,0.574558
01107,Clinton,Dem,0.418281
01107,Johnson,Ind,0.00516
01107,Stein,Ind,0.002001
01109,Trump,GOP,0.589321
01109,Clinton,Dem,0.387314
01109,Johnson,Ind,0.019687
01109,Stein,Ind,0.003677
01111,Trump,GOP,0.759937
01111,Clinton,Dem,0.225959
01111,Johnson,Ind,0.01223
01111,Stein,Ind,0.001874
01113,Trump,GOP,0.481242
01113,Clinton,Dem,0.500523
01113,Johnson,Ind,0.014683
