candidateid,votes,last,party,state,district
6638,3,Trump,GOP,AK,
6637,0,Clinton,Dem,AK,
6641,0,Johnson,Lib,AK,
6642,0,Stein,Grn,AK,
6639,0,Castle,CST,AK,
6648,0,De La Fuente,NPA,AK,
5063,9,Trump,GOP,AL,
5065,0,Clinton,Dem,AL,
5178,0,Johnson,Ind,AL,
5177,0,Stein,Ind,AL,
12686,6,Trump,GOP,AR,
12691,0,Clinton,Dem,AR,
12867,0,Johnson,Lib,AR,
12874,0,McMullin,BFA,AR,
12876,0,Stein,Grn,AR,
12843,0,Hedges,Ind,AR,
12873,0,Castle,CST,AR,
12869,0,Kahn,Ind,AR,
9677,11,Trump,GOP,AZ,
9678,0,Clinton,Dem,AZ,
9675,0,Johnson,Lib,AZ,
9676,0,Stein,Grn,AZ,
20374,55,Clinton,Dem,CA,
20820,0,Trump,GOP,CA,
20880,0,Johnson,Lib,CA,
20882,0,Stein,Grn,CA,
20883,0,La Riva,PFP,CA,
12800,9,Clinton,Dem,CO,
12802,0,Trump,GOP,CO,
12834,0,Johnson,Lib,CO,
12835,0,Stein,Grn,CO,
12841,0,McMullin,Una,CO,
12846,0,Castle,CST,CO,
12824,0,Keniston,VET,CO,
12842,0,Smith,Una,CO,
12836,0,De La Fuente,ADP,CO,
12844,0,Kopitke,IAP,CO,
12827,0,Maldonado,Una,CO,
12840,0,Maturen,Oth,CO,
12829,0,Silva,Oth,CO,
12828,0,Scott,Una,CO,
12837,0,Hoefling,AmP,CO,
12838,0,La Riva,PSL,CO,
12825,0,Kennedy,SWP,CO,
12826,0,Kotlikoff,Una,CO,
12839,0,Lyttle,PCF,CO,
12821,0,Atwood,Oth,CO,
12843,0,Soltysik,SPU,CO,
12823,0,Hedges,Pro,CO,
20519,7,Clinton,Dem,CT,
20520,0,Trump,GOP,CT,
20553,0,Johnson,Lib,CT,
20552,0,Stein,Grn,CT,
10218,3,Clinton,Dem,DC,
10219,0,Trump,GOP,DC,
10099,0,Johnson,Lib,DC,
10251,0,Stein,DCG,DC,
10611,3,Clinton,Dem,DE,
10612,0,Trump,GOP,DE,
10613,0,Johnson,Lib,DE,
10614,0,Stein,Grn,DE,
21369,29,Trump,GOP,FL,
21372,0,Clinton,Dem,FL,
21370,0,Johnson,Lib,FL,
21368,0,Stein,Grn,FL,
21365,0,Castle,CST,FL,
21371,0,De La Fuente,RP,FL,
20740,16,Trump,GOP,GA,
20739,0,Clinton,Dem,GA,
20764,0,Johnson,Lib,GA,
19147,4,Clinton,Dem,HI,
19148,0,Trump,GOP,HI,
19164,0,Johnson,Lib,HI,
19165,0,Stein,Grn,HI,
19180,0,Castle,CST,HI,
22627,6,Trump,GOP,IA,
22626,0,Clinton,Dem,IA,
22648,0,Johnson,Lib,IA,
22645,0,McMullin,PEC,IA,
22634,0,Stein,Grn,IA,
22632,0,Castle,CST,IA,
22647,0,Kahn,Oth,IA,
22646,0,Vacek,LMN,IA,
22636,0,De La Fuente,PEC,IA,
22635,0,La Riva,PSL,IA,
18718,4,Trump,GOP,ID,
18717,0,Clinton,Dem,ID,
18732,0,McMullin,Ind,ID,
18728,0,Johnson,Lib,ID,
18733,0,Stein,Ind,ID,
18730,0,Castle,Ind,ID,
18729,0,Copeland,CST,ID,
18731,0,De La Fuente,Ind,ID,
26524,20,Clinton,Dem,IL,
26541,0,Trump,GOP,IL,
27491,0,Johnson,Lib,IL,
27489,0,Stein,Grn,IL,
21368,11,Trump,GOP,IN,
21521,0,Clinton,Dem,IN,
21585,0,Johnson,Lib,IN,
6603,6,Trump,GOP,KS,
6602,0,Clinton,Dem,KS,
6604,0,Johnson,Lib,KS,
6607,0,Stein,Ind,KS,
5609,8,Trump,GOP,KY,
5431,0,Clinton,Dem,KY,
5622,0,Johnson,Lib,KY,
5628,0,McMullin,Ind,KY,
5623,0,Stein,Grn,KY,
5627,0,De La Fuente,ADP,KY,
24352,8,Trump,GOP,LA,
24351,0,Clinton,Dem,LA,
24455,0,Johnson,Lib,LA,
24459,0,Stein,Grn,LA,
24463,0,McMullin,Oth,LA,
24461,0,Castle,Oth,LA,
24462,0,Keniston,Oth,LA,
24460,0,Hoefling,Oth,LA,
24457,0,Kotlikoff,Oth,LA,
24456,0,Jacob,Oth,LA,
24363,0,Kennedy,Oth,LA,
24454,0,La Riva,Oth,LA,
24458,0,White,Oth,LA,
33825,11,Clinton,Dem,MA,
33826,0,Trump,GOP,MA,
33828,0,Johnson,Lib,MA,
33829,0,Stein,Grn,MA,
30296,10,Clinton,Dem,MD,
30316,0,Trump,GOP,MD,
30592,0,Johnson,Lib,MD,
30611,0,Stein,Grn,MD,
29634,1,Clinton,Dem,ME,1
29633,0,Trump,GOP,ME,1
29692,0,Johnson,Lib,ME,1
29691,0,Stein,Grn,ME,1
29634,0,Clinton,Dem,ME,2
29633,1,Trump,GOP,ME,2
29692,0,Johnson,Lib,ME,2
29691,0,Stein,Grn,ME,2
29634,2,Clinton,Dem,ME,AL
29633,0,Trump,GOP,ME,AL
29692,0,Johnson,Lib,ME,AL
29691,0,Stein,Grn,ME,AL
29634,3,Clinton,Dem,ME,
29633,1,Trump,GOP,ME,
29692,0,Johnson,Lib,ME,
