id,raceid,racetype,racetypeid,ballotorder,candidateid,description,delegatecount,electiondate,electtotal,electwon,fipscode,first,incumbent,initialization_data,is_ballot_measure,last,lastupdated,level,national,officeid,officename,party,polid,polnum,precinctsreporting,precinctsreportingpct,precinctstotal,reportingunitid,reportingunitname,runoff,seatname,seatnum,statename,statepostal,test,uncontested,votecount,votepct,winner
0-polid-1746-state-ME-1,0,General,G,1,29634,,0,2016-11-08,4,3,,Hillary,False,False,False,Clinton,2018-09-19T17:38:45.513Z,state,True,P,President,Dem,1746,25717,589,1.0,589,state-ME-1,,False,,,Maine,ME,False,False,357735,0.479741,True
0-polid-8639-state-ME-1,0,General,G,4,29633,,0,2016-11-08,4,1,,Donald,False,False,False,Trump,2018-09-19T17:38:45.513Z,state,True,P,President,GOP,8639,25718,589,1.0,589,state-ME-1,,False,,,Maine,ME,False,False,335593,0.450047,False
0-polid-31708-state-ME-1,0,General,G,2,29692,,0,2016-11-08,4,0,,Gary,False,False,False,Johnson,2018-09-19T17:38:45.513Z,state,True,P,President,Lib,31708,25275,589,1.0,589,state-ME-1,,False,,,Maine,ME,False,False,38105,0.051101,False
0-polid-895-state-ME-1,0,General,G,3,29691,,0,2016-11-08,4,0,,Jill,False,False,False,Stein,2018-09-19T17:38:45.513Z,state,True,P,President,Grn,895,25276,589,1.0,589,state-ME-1,,False,,,Maine,ME,False,False,14251,0.019111,False
0-polid-1746-district-20005,0,General,G,1,29634,,0,2016-11-08,2,2,,Hillary,False,False,False,Clinton,2018-09-19T17:38:45.513Z,district,True,P,President,Dem,1746,25717,589,1.0,589,district-20005,At Large,False,,,Maine,ME,False,False,357735,0.479741,True
0-polid-8639-district-20005,0,General,G,4,29633,,0,2016-11-08,2,0,,Donald,False,False,False,Trump,2018-09-19T17:38:45.513Z,district,True,P,President,GOP,8639,25718,589,1.0,589,district-20005,At Large,False,,,Maine,ME,False,False,335593,0.450047,False
0-polid-31708-district-20005,0,General,G,2,29692,,0,2016-11-08,2,0,,Gary,False,False,False,Johnson,2018-09-19T17:38:45.513Z,district,True,P,President,Lib,31708,25275,589,1.0,589,district-20005,At Large,False,,,Maine,ME,False,False,38105,0.051101,False
0-polid-895-district-20005,0,General,G,3,29691,,0,2016-11-08,2,0,,Jill,False,False,False,Stein,2018-09-19T17:38:45.513Z,district,True,P,President,Grn,895,25276,589,1.0,589,district-20005,At Large,False,,,Maine,ME,False,False,14251,0.019111,False
0-polid-1746-district-20026,0,General,G,1,29634,,0,2016-11-08,1,1,,Hillary,False,False,False,Clinton,2018-09-19T17:38:45.513Z,district,True,P,President,Dem,1746,25717,166,1.0,166,district-20026,District 1,False,,,Maine,ME,False,False,213996,0.541669,True
0-polid-8639-district-20026,0,General,G,4,29633,,0,2016-11-08,1,0,,Donald,False,False,False,Trump,2018-09-19T17:38:45.513Z,district,True,P,President,GOP,8639,25718,166,1.0,166,district-20026,District 1,False,,,Maine,ME,False,False,154775,0.391768,False
0-polid-31708-district-20026,0,General,G,2,29692,,0,2016-11-08,1,0,,Gary,False,False,False,Johnson,2018-09-19T17:38:45.513Z,district,True,P,President,Lib,31708,25275,166,1.0,166,district-20026,District 1,False,,,Maine,ME,False,False,18696,0.047323,False
0-polid-895-district-20026,0,General,G,3,29691,,0,2016-11-08,1,0,,Jill,False,False,False,Stein,2018-09-19T17:38:45.513Z,district,True,P,President,Grn,895,25276,166,1.0,166,district-20026,District 1,False,,,Maine,ME,False,False,7601,0.01924,False
0-polid-1746-district-20027,0,General,G,1,29634,,0,2016-11-08,1,0,,Hillary,False,False,False,Clinton,2018-09-19T17:38:45.513Z,district,True,P,President,Dem,1746,25717,423,1.0,423,district-20027,District 2,False,,,Maine,ME,False,False,143739,0.409961,True
0-polid-8639-district-20027,0,General,G,4,29633,,0,2016-11-08,1,1,,Donald,False,False,False,Trump,2018-09-19T17:38:45.513Z,district,True,P,President,GOP,8639,25718,423,1.0,423,district-20027,District 2,False,,,Maine,ME,False,False,180818,0.515715,False
0-polid-31708-district-20027,0,General,G,2,29692,,0,2016-11-08,1,0,,Gary,False,False,False,Johnson,2018-09-19T17:38:45.513Z,district,True,P,President,Lib,31708,25275,423,1.0,423,district-20027,District 2,False,,,Maine,ME,False,False,19409,0.055357,False
0-polid-895-district-20027,0,General,G,3,29691,,0,2016-11-08,1,0,,Jill,False,False,False,Stein,2018-09-19T17:38:45.513Z,district,True,P,President,Grn,895,25276,423,1.0,423,district-20027,District 2,False,,,Maine,ME,False,False,6650,0.018967,False
0-polid-8639-state-NE-1,0,General,G,1,31489,,0,2016-11-08,5,5,,Donald,False,False,False,Trump,2018-09-07T17:57:32.623Z,state,True,P,President,GOP,8639,29907,1418,1.0,1418,state-NE-1,,False,,,Nebraska,NE,False,False,495961,0.598859,True
